,artist,cp,section,song,type,listener count (last.fm),play count (last.fm),genre (last.fm),popularity (Spotify),release date (Spotify)
0,3 Doors Down,"1,5,6",Intro,Be Like That,3 chord,403366,1913091,rock,60,2000
3,Adele,"1,5,6",Chorus,Someone Like You,3 chord,1023520,10250722,soul,80,2011
7,Aerosmith,"1,5,6",Verse,Cryin',3 chord,567063,2970510,rock,72,1993
17,Arctic Monkeys,"1,5,6",Chorus,Mardy Bum,3 chord,1101408,9505520,indie rock,59,2006
22,Avril Lavigne,"1,5,6",Chorus,Girlfriend,3 chord,563039,3833402,pop,74,2007
27,Blues Traveler,"1,5,6",Verse,Hook,3 chord,179741,794876,blues rock,62,1994
32,Bon Jovi,"1,5,6",Chorus,Living On A Prayer,3 chord,952702,6222292,rock,23,2017
37,Bruno Mars,"1,5,6",Chorus,Grenade,3 chord,567561,4825266,pop,76,2010
40,Carly Rae Jepsen,"1,5,6",Chorus,Call Me Maybe,3 chord,799233,7619792,pop,69,2012
44,Carrie Underwood,"1,5,6",Chorus,So Small,3 chord,102827,554756,country,51,2007
48,Cascada,"1,5,6",Chorus,Every Time We Touch,3 chord,312733,1987967,dance,67,2006
58,Christina Perri,"1,5,6",Chorus,Jar Of Hearts,3 chord,567923,3684708,female vocalists,75,2011
64,Death Cab for Cutie,"1,5,6",Chorus,I Will Follow You Into the Dark,3 chord,1182559,10833018,indie,67,2005
69,Don McLean,"1,5,6",Chorus,American Pie,3 chord,548294,2911941,classic rock,75,1971
97,Flo Rida,"1,5,6",Instrumental,Whistle,3 chord,389615,2679917,Hip-Hop,76,2012
106,Jack Johnson,"1,5,6",Chorus,Flake,3 chord,460846,2608212,acoustic,63,2011
111,Jason Mraz,"1,5,6",Chorus,I'm Yours,3 chord,1309756,10560509,acoustic,84,2008
116,Katy Perry,"1,5,6",Chorus,Firework,3 chord,917284,7898421,pop,74,2012
121,Kelly Clarkson,"1,5,6",Chorus,Already Gone,3 chord,261026,1797271,pop,59,2009
130,Maroon 5,"1,5,6",Chorus,She Will Be Loved,3 chord,1140967,7179334,pop,75,2002
135,Matchbox 20,"1,5,6",Verse,Real World,3 chord,272893,1179342,rock,62,1996
145,Mumford and Sons,"1,5,6",Chorus,The Cave,3 chord,935028,8740411,folk,70,2009
170,Of Monsters And Men,"1,5,6",Chorus,Little Talks,3 chord,911279,8901833,indie,77,2012
175,Old Crow Medicine Show,"1,5,6",Verse,Wagon Wheel,3 chord,234035,1486131,bluegrass,68,2004
180,One Direction,"1,5,6",Pre-Chorus,Live While We're Young,3 chord,212957,1823933,pop,71,2012
191,Pink Floyd,"1,5,6",Verse,Time,3 chord,887517,7575276,Drum and bass,71,1973
212,Skid Row,"1,5,6",Pre-Chorus and Chorus,Wasted Time,3 chord,125685,614872,hard rock,58,1991
220,Taylor Swift,"1,5,6",Verse,Eyes Open,3 chord,105942,654254,pop,51,2012
