Artist,Chord Progression,Genre,Popularity,Song
Bloodhound Gang,"1,5,4,6",rock,71.0,The Bad Touch
Bloodhound Gang,"1,5,4,6",alternative,71.0,The Bad Touch
Bloodhound Gang,"1,5,4,6",dance,71.0,The Bad Touch
Bloodhound Gang,"1,5,4,6",alternative rock,71.0,The Bad Touch
Bloodhound Gang,"1,5,4,6",comedy,71.0,The Bad Touch
Britney Spears,"1,5,4,6",pop,46.0,Out From Under
Britney Spears,"1,5,4,6",Britney Spears,46.0,Out From Under
Britney Spears,"1,5,4,6",Ballad,46.0,Out From Under
Britney Spears,"1,5,4,6",broken heart,46.0,Out From Under
Britney Spears,"1,5,4,6",circus,46.0,Out From Under
Cascada,"1,5,4,6",dance,68.0,Every Time We Touch
Cascada,"1,5,4,6",pop,68.0,Every Time We Touch
Cascada,"1,5,4,6",techno,68.0,Every Time We Touch
Cascada,"1,5,4,6",trance,68.0,Every Time We Touch
Cascada,"1,5,4,6",electronic,68.0,Every Time We Touch
Dire Straits,"1,5,4,6",classic rock,68.0,Sultans of Swing
Dire Straits,"1,5,4,6",rock,68.0,Sultans of Swing
Dire Straits,"1,5,4,6",dire straits,68.0,Sultans of Swing
Dire Straits,"1,5,4,6",80s,68.0,Sultans of Swing
Dire Straits,"1,5,4,6",guitar,68.0,Sultans of Swing
Pink,"1,5,4,6",pop,77.0,Raise Your Glass
Pink,"1,5,4,6",pop rock,77.0,Raise Your Glass
Pink,"1,5,4,6",P!nk,77.0,Raise Your Glass
Pink,"1,5,4,6",female vocalists,77.0,Raise Your Glass
Pink,"1,5,4,6",rock,77.0,Raise Your Glass
Rihanna,"1,5,4,6",pop,75.0,Disturbia
Rihanna,"1,5,4,6",dance,75.0,Disturbia
Rihanna,"1,5,4,6",Rihanna,75.0,Disturbia
Rihanna,"1,5,4,6",rnb,75.0,Disturbia
Rihanna,"1,5,4,6",female vocalists,75.0,Disturbia
Avicii,"1,5,4,6",dance,58.0,Levels
Avicii,"1,5,4,6",House,58.0,Levels
Avicii,"1,5,4,6",electronic,58.0,Levels
Avicii,"1,5,4,6",party,58.0,Levels
Avicii,"1,5,4,6",Progressive House,58.0,Levels
Nicki Minaj,"1,5,4,6",pop,68.0,Starships
Nicki Minaj,"1,5,4,6",dance,68.0,Starships
Nicki Minaj,"1,5,4,6",nicki minaj,68.0,Starships
Nicki Minaj,"1,5,4,6",party,68.0,Starships
Nicki Minaj,"1,5,4,6",female vocalists,68.0,Starships
Taylor Swift,"1,5,4,6",country,61.0,Red
Taylor Swift,"1,5,4,6",pop,61.0,Red
Taylor Swift,"1,5,4,6",taylor swift,61.0,Red
Taylor Swift,"1,5,4,6",country pop,61.0,Red
Taylor Swift,"1,5,4,6",female vocalists,61.0,Red
