0,cp,section,song,type,song (last.fm),artist (last.fm),listener count (last.fm),play count (last.fm),genre (last.fm)
73113243,"1,2,3",Chorus,NYAN CAT,3 chord,,,,,
10cc,"4,5,6",Intro and Verse,The Wall Street Shuffle,3 chord,The Wall Street Shuffle,10cc,66115,210783,"rock, classic rock, 70s, 10cc, pop"
1927,"1,4,5",Intro and Verse,If I Could,3 chord,If I Could,1927,4020,21222,"australian, pop, rock, 80s, AOR"
2pac,"4,1,5",Verse,Changes,3 chord,Changes,2Pac,315181,2046155,"rap, Hip-Hop, hip hop, 2pac, Gangsta Rap"
3 Doors Down,"1,5,6",Intro,Be Like That,3 chord,Be Like That,3 Doors Down,403366,1913091,"rock, alternative rock, 3 Doors Down, alternative, Be Like That"
3 Doors Down,"4,5,6",Chorus,Kryptonite,3 chord,Kryptonite,3 Doors Down,1067856,7265039,"rock, alternative rock, 3 Doors Down, alternative, hard rock"
311,"1,6,3",Intro,Amber,3 chord,Amber,311,426813,2172343,"reggae, chill, Mellow, alternative, rock"
360,"1,6,5",Intro,Run Alone,3 chord,Run Alone,360,10448,58116,"australian, Hi, 2012 single"
38 Special,"1,5,1",Chorus,If I'd Been the One,3 chord,If I'd Been The One,.38 Special,39135,125011,"Southern Rock, classic rock, rock, 38 Special, 80s"
3LAU,"6,4,5",Chorus,Escape,3 chord,Escape,3LAU,581,2680,
3LAU,"1,5,4",Pre-Chorus,How You Love Me,3 chord,How You Love Me,3LAU,30740,146798,"kim kardashian, scarlett johansson, 3LAU, Tory Lane, naomi campbell"
3OH3,"1,5,6",Chorus,Don't Trust Me,3 chord,Don't Trust Me,3OH!3,395062,3854307,"electronic, dance, pop, electropop, fun"
3OH3,"1,6,5",Chorus,Double Vision,3 chord,Double Vision,3OH!3,97430,909863,"electronic, pop, electro, fun, love at first listen"
4 Non Blondes,"1,2,4",Intro,What's Up,3 chord,What's Up,4 Non Blondes,290462,1474512,"90s, rock, female vocalists, alternative, pop"
4 Strings,"1,5,6",Pre-Chorus and Chorus,Take Me Away,3 chord,Take Me Away,4 Strings,20804,122066,"trance, vocal trance, dance, electronic, female vocalists"
40meterP,"5,1,4",Chorus,Renai Saiban - Love Trial,3 chord,,,,,
4minute,"6,4,1",Chorus,Cut It Out,3 chord,Cut it Out,4minute,7188,51131,k-pop
4minute,"6,4,1",Verse,Hate,3 chord,Hate,4minute,34573,390369,"k-pop, pop, Korean, Kpop, rap"
5 Seconds Of Summer,"6,4,1",Chorus,Amnesia,3 chord,Amnesia,5 Seconds of Summer,123096,843487,"australian, pop, pop rock, love at first listen, 5SOS"
