artist,cp,section,song
3 Doors Down,"1,5,6",Intro,Be Like That
3 Doors Down,"1,5,6",Verse,Be Like That
Adele,"1,5,6",Chorus,Someone Like You
Aerosmith,"1,5,6",Verse,Cryin'
Ai Ootsuka,"1,5,6",Chorus,Sakuranbo
Arctic Monkeys,"1,5,6",Chorus,Mardy Bum
Avril Lavigne,"1,5,6",Chorus,Girlfriend
Blues Traveler,"1,5,6",Verse,Hook
Bon Jovi,"1,5,6",Chorus,Living On A Prayer
Bruno Mars,"1,5,6",Chorus,Grenade
Carly Rae Jepsen,"1,5,6",Chorus,Call Me Maybe
Carrie Underwood,"1,5,6",Chorus,So Small
Carrie Underwood,"1,5,6",Verse,So Small
Cascada,"1,5,6",Chorus,Every Time We Touch
Cascada,"1,5,6",Verse,Every Time We Touch
Cheryl Cole,"1,5,6",Verse,Parachute
Christina Perri,"1,5,6",Chorus,Jar Of Hearts
daudre,"1,5,6",Chorus,Sandstorm
Death Cab for Cutie,"1,5,6",Chorus,I Will Follow You Into the Dark
Don McLean,"1,5,6",Chorus,American Pie
Erasure,"1,5,6",Pre-Chorus,Always
Erasure,"1,5,6",Verse,Always
Evanescence,"1,5,6",Chorus,Bring Me To Life
Flo Rida,"1,5,6",Instrumental,Whistle
Green Day,"1,5,6",Verse,Basketcase
Jack Johnson,"1,5,6",Chorus,Flake
Jason Mraz,"1,5,6",Chorus,I'm Yours
Jason Mraz,"1,5,6",Verse,I'm Yours
Katy Perry,"1,5,6",Chorus,Firework
Kelly Clarkson,"1,5,6",Chorus,Already Gone
Kelly Clarkson,"1,5,6",Verse,Already Gone
Kelly Clarkson,"1,5,6",Verse,My Grown Up Christmas Wish
Lady Gaga,"1,5,6",Chorus,The Edge Of Glory
Maroon 5,"1,5,6",Chorus,She Will Be Loved
Matchbox 20,"1,5,6",Verse,Real World
Mitch Benn And The Distractions,"1,5,6",Verse,Everything Sounds Like Coldplay Now
Mumford and Sons,"1,5,6",Chorus,The Cave
NOFX,"1,5,6",Chorus,Please Play This Song On The Radio
Oasis,"1,5,6",Pre-Chorus and Chorus,Don't Go Away
Oasis,"1,5,6",Chorus,Don't Look Back in Anger
Oasis,"1,5,6",Verse,Don't Look Back In Anger
Of Monsters And Men,"1,5,6",Chorus,Little Talks
Of Monsters And Men,"1,5,6",Intro,Little Talks
Old Crow Medicine Show,"1,5,6",Verse,Wagon Wheel
One Direction,"1,5,6",Pre-Chorus,Live While We're Young
One Republic,"1,5,6",Chorus,Say
One Republic,"1,5,6",Verse and Pre-Chorus,Say
Pink,"1,5,6",Chorus,U and Ur Hand
Pink Floyd,"1,5,6",Verse,Time
Rhapsody of Fire,"1,5,6",Chorus,Emerald Sword
Rihanna,"1,5,6",Pre-Chorus,Love The Way You Lie Part 2
Rihanna,"1,5,6",Verse,Love The Way You Lie Part 2
Shakira,"1,5,6",Pre-Chorus and Chorus,Waka Waka
Skid Row,"1,5,6",Pre-Chorus and Chorus,Wasted Time
Snow Patrol,"1,5,6",Chorus,Run
Taylor Swift,"1,5,6",Verse,Eyes Open
Taylor Swift,"1,5,6",Chorus,I Knew You Were Trouble
Taylor Swift,"1,5,6",Verse,I Knew You Were Trouble
Taylor Swift,"1,5,6",Chorus,Mine
Taylor Swift,"1,5,6",Chorus,We Are Never Ever Getting Back Together
