,artist,cp,section,song,type
0,3 Doors Down,"1,5,6",Intro,Be Like That,3 chord
1,3 Doors Down,"1,5,6",Verse,Be Like That,3 chord
2,Adele,"1,5,6",Chorus,Someone Like You,3 chord
3,Aerosmith,"1,5,6",Verse,Cryin',3 chord
4,Ai Ootsuka,"1,5,6",Chorus,Sakuranbo,3 chord
5,Arctic Monkeys,"1,5,6",Chorus,Mardy Bum,3 chord
6,Avril Lavigne,"1,5,6",Chorus,Girlfriend,3 chord
7,Blues Traveler,"1,5,6",Verse,Hook,3 chord
8,Bon Jovi,"1,5,6",Chorus,Living On A Prayer,3 chord
9,Bruno Mars,"1,5,6",Chorus,Grenade,3 chord
10,Carly Rae Jepsen,"1,5,6",Chorus,Call Me Maybe,3 chord
11,Carrie Underwood,"1,5,6",Chorus,So Small,3 chord
12,Carrie Underwood,"1,5,6",Verse,So Small,3 chord
13,Cascada,"1,5,6",Chorus,Every Time We Touch,3 chord
14,Cascada,"1,5,6",Verse,Every Time We Touch,3 chord
15,Cheryl Cole,"1,5,6",Verse,Parachute,3 chord
16,Christina Perri,"1,5,6",Chorus,Jar Of Hearts,3 chord
17,daudre,"1,5,6",Chorus,Sandstorm,3 chord
18,Death Cab for Cutie,"1,5,6",Chorus,I Will Follow You Into the Dark,3 chord
19,Don McLean,"1,5,6",Chorus,American Pie,3 chord
20,Erasure,"1,5,6",Pre-Chorus,Always,3 chord
21,Erasure,"1,5,6",Verse,Always,3 chord
22,Evanescence,"1,5,6",Chorus,Bring Me To Life,3 chord
23,Flo Rida,"1,5,6",Instrumental,Whistle,3 chord
24,Green Day,"1,5,6",Verse,Basketcase,3 chord
25,Jack Johnson,"1,5,6",Chorus,Flake,3 chord
26,Jason Mraz,"1,5,6",Chorus,I'm Yours,3 chord
27,Jason Mraz,"1,5,6",Verse,I'm Yours,3 chord
28,Katy Perry,"1,5,6",Chorus,Firework,3 chord
29,Kelly Clarkson,"1,5,6",Chorus,Already Gone,3 chord
30,Kelly Clarkson,"1,5,6",Verse,Already Gone,3 chord
31,Kelly Clarkson,"1,5,6",Verse,My Grown Up Christmas Wish,3 chord
