0,cp,section,song,type,song (last.fm),artist (last.fm),listener count (last.fm),play count (last.fm),genre (last.fm),song (Spotify),artist (Spotify),popularity (Spotify),release date (Spotify)
73113243,"1,2,3",Chorus,NYAN CAT,3 chord,,,,,,,,,
10cc,"4,5,6",Intro and Verse,The Wall Street Shuffle,3 chord,The Wall Street Shuffle,10cc,66115.0,210783.0,"rock, classic rock, 70s, 10cc, pop",The Wall Street Shuffle,10cc,49.0,2004-01-01
1927,"1,4,5",Intro and Verse,If I Could,3 chord,If I Could,1927,4020.0,21222.0,"australian, pop, rock, 80s, AOR",,,,
2pac,"4,1,5",Verse,Changes,3 chord,Changes,2Pac,315181.0,2046155.0,"rap, Hip-Hop, hip hop, 2pac, Gangsta Rap",Changes,2Pac,64.0,1998-01-01
3 Doors Down,"1,5,6",Intro,Be Like That,3 chord,Be Like That,3 Doors Down,403366.0,1913091.0,"rock, alternative rock, 3 Doors Down, alternative, Be Like That",Be Like That,3 Doors Down,60.0,2000
3 Doors Down,"4,5,6",Chorus,Kryptonite,3 chord,Kryptonite,3 Doors Down,1067856.0,7265039.0,"rock, alternative rock, 3 Doors Down, alternative, hard rock",Kryptonite,3 Doors Down,79.0,2000
311,"1,6,3",Intro,Amber,3 chord,Amber,311,426813.0,2172343.0,"reggae, chill, Mellow, alternative, rock",Amber,311,67.0,2004-06-08
360,"1,6,5",Intro,Run Alone,3 chord,Run Alone,360,10448.0,58116.0,"australian, Hi, 2012 single",Run Alone,360,25.0,2011-09-30
38 Special,"1,5,1",Chorus,If I'd Been the One,3 chord,If I'd Been The One,.38 Special,39135.0,125011.0,"Southern Rock, classic rock, rock, 38 Special, 80s",,,,
3LAU,"6,4,5",Chorus,Escape,3 chord,Escape,3LAU,581.0,2680.0,,,,,
3LAU,"1,5,4",Pre-Chorus,How You Love Me,3 chord,How You Love Me,3LAU,30740.0,146798.0,"kim kardashian, scarlett johansson, 3LAU, Tory Lane, naomi campbell",How You Love Me,3LAU,53.0,2014-01-01
