artist,cp,section,song,type
073113243,"1,2,3",Chorus,NYAN CAT,3 chord
10cc,"4,5,6",Intro and Verse,The Wall Street Shuffle,3 chord
1927,"1,4,5",Intro and Verse,If I Could,3 chord
2pac,"4,1,5",Verse,Changes,3 chord
3 Doors Down,"1,5,6",Intro,Be Like That,3 chord
3 Doors Down,"4,5,6",Chorus,Kryptonite,3 chord
311,"1,6,3",Intro,Amber,3 chord
360,"1,6,5",Intro,Run Alone,3 chord
38 Special,"1,5,1",Chorus,If I'd Been the One,3 chord
3LAU,"6,4,5",Chorus,Escape,3 chord
3LAU,"1,5,4",Pre-Chorus,How You Love Me,3 chord
3OH3,"1,5,6",Chorus,Don't Trust Me,3 chord
3OH3,"1,6,5",Chorus,Double Vision,3 chord
4 Non Blondes,"1,2,4",Intro,What's Up,3 chord
4 Strings,"1,5,6",Pre-Chorus and Chorus,Take Me Away,3 chord
40meterP,"5,1,4",Chorus,Renai Saiban - Love Trial,3 chord
4minute,"6,4,1",Chorus,Cut It Out,3 chord
4minute,"6,4,1",Verse,Hate,3 chord
5 Seconds Of Summer,"6,4,1",Chorus,Amnesia,3 chord
98 Degrees,"1,4,1",Chorus,The Hardest Thing,3 chord
A Day To Remember,"1,5,1",Pre-Chorus and Chorus,Downfall Of Us All,3 chord
A Great Big World,"1,5,6",Intro,Say Something,3 chord
A Perfect Circle,"4,1,5",Verse,3 Libras,3 chord
A Perfect Circle,"1,5,4",Pre-Chorus and Chorus,The nurse who loved me,3 chord
A R Rahman,"1,4,5",Chorus,Roja,3 chord
A-ha,"1,5,4",Chorus,Take On Me,3 chord
A-ha,"4,1,5",Intro,The Sun Always Shines On TV,3 chord
ABBA,"6,5,6",Verse,Dancing Queen,3 chord
ABBA,"6,5,6",Intro,Gimme Gimme Gimme A Man After Midnight,3 chord
ABBA,"5,2,5",Chorus,Happy New Year,3 chord
ABBA,"1,6,3",Outro,Knowing Me Knowing You,3 chord
ABBA,"1,5,4",Pre-Chorus,Mamma Mia,3 chord
ABBA,"1,5,2",Verse,SOS,3 chord
ABBA,"1,5,4",Chorus,So Long,3 chord
ABBA,"1,5,1",Chorus,Waterloo,3 chord
AC DC,"4,1,4",Chorus,Highway to Hell,3 chord
AFI,"1,5,6",Chorus,Girl's Not Grey,3 chord
AFI,"1,5,6",Chorus,Miss Murder,3 chord
AKB48,"4,5,1",Chorus,Heavy Rotation,3 chord
AKB48,"1,6,5",Verse,Sugar Rush,3 chord
AM Taxi,"1,6,4",Intro,Charissa,3 chord
AM Taxi,"1,4,6",Chorus,Tanner Boyle vs the 7th Grade,3 chord
ARRahman ft Pussycat Dolls,"6,5,6",Intro,Jai Ho - You Are My Destiny,3 chord
ATB,"4,5,6",Chorus,9pm Till I come,3 chord
ATB,"4,6,5",Intro,Ecstasy,3 chord
ATC,"6,3,4",Chorus,Around The World,3 chord
AWESOMEGUY,"1,2,3",Instrumental,NYAN CAT,3 chord
AZEDIA,"6,5,4",Solo,Something,3 chord
Aage Aleksandersen,"6,5,1",Intro,Fire Pils Og En Pizza,3 chord
Aage Aleksandersen,"1,5,4",Chorus,Norge Mitt Norge,3 chord
Above and Beyond,"1,5,4",Intro,Good For Me - Ambient Mix -,3 chord
Above and Beyond,"1,2,6",Pre-Chorus,Sun and Moon,3 chord
Above and Beyond feat Alex Vargas,"4,6,5",Verse,All Over The World,3 chord
Absofacto,"1,2,4",Chorus,Dissolve,3 chord
Absofacto,"1,6,1",Chorus,Whose Side Are You On Anyway,3 chord
Absynthe Minded,"1,5,4",Chorus,End Of The Line,3 chord
Absynthe Minded,"6,5,4",Bridge,Papillon,3 chord
Ace Of Base,"1,6,4",Chorus,I Saw The Sign,3 chord
Ace of Base,"4,1,5",Pre-Chorus,All That She Wants,3 chord
